dataset,scorer,d_h,layers,label_smooth,batch_size,score_chunk_size,n,seeds,MRR_mean,MRR_std,H1_mean,H3_mean,H10_mean,train_h_mean
CoDEx-L,DistMult,200,0,0.3,4096,0,3,"42,123,456",0.5356798798229384,0.0017754447913956458,43.700607406439815,59.090414299087804,72.30857988809788,0.5179741584371637
FB15k-237,ComplEx,200,3,0.3,1024,0,3,"42,123,456",0.42106666666666664,0.0013316656236959015,32.63333333333333,46.26666666666667,60.9,nan
FB15k-237,DistMult,200,3,0.3,1024,0,3,"42,123,456",0.41566666666666663,0.0024946609656090087,32.1,45.73333333333333,60.46666666666667,nan
Kinship,ComplEx,200,2,0.3,1024,0,3,"42,123,456",0.7626333333333334,0.009421429473988156,64.60000000000001,85.26666666666667,96.3,nan
Kinship,ComplEx,200,2,0.3,4096,0,3,"7,99,2024",0.7641405646481649,0.0040050212418959626,64.9286157666046,85.38175046554936,96.33767846058349,0.011706636790876036
Kinship,DistMult,200,2,0.3,1024,0,3,"42,123,456",0.6749999999999999,0.011294689017409912,54.43333333333334,75.76666666666667,94.0,nan
Kinship,DistMult,200,2,0.3,4096,0,3,"7,99,2024",0.6738750206738935,0.00476355125483562,54.31409062693979,75.512104283054,93.91682184978275,0.01238694115921303
Kinship,RotatE,200,2,0.3,4096,0,3,"42,123,456",0.7266315329725005,0.009055589691498908,60.52141527001862,82.06083178150216,94.6927374301676,0.004846411634374548
Kinship,TransE,200,2,0.3,4096,0,3,"42,123,456",0.047241578639661254,0.004442859158100744,0.0,1.924270639354438,11.452513966480446,0.004223634975927848
UMLS,ComplEx,200,2,0.3,1024,0,3,"42,123,456",0.8344333333333332,0.0020428737928059704,75.33333333333333,90.26666666666667,95.46666666666665,nan
UMLS,ComplEx,200,2,0.3,4096,0,3,"7,99,2024",0.8259785470183741,0.011305330281504879,74.38224911749874,89.66212808875441,94.30156328794756,0.016657674533349497
UMLS,DistMult,200,2,0.3,1024,0,3,"42,123,456",0.8704666666666666,0.010945470905051694,81.56666666666666,90.66666666666667,96.86666666666667,nan
UMLS,DistMult,200,2,0.3,4096,0,3,"7,99,2024",0.879140824200555,0.007227803624719771,82.55168935955622,92.28441754916793,96.97428139183056,0.017051588385193436
UMLS,RotatE,200,2,0.3,4096,0,3,"42,123,456",0.8490450880185271,0.006538378446060656,77.25668179525971,91.52798789712557,95.46142208774585,0.004578105211257935
UMLS,TransE,200,2,0.3,4096,0,3,"42,123,456",0.10047421728705902,0.008721252652046691,0.0,9.379727685325264,33.484619263741806,0.003152842146378976
WN18RR,ComplEx,200,1,0.3,4096,0,3,"42,123,456",0.45332351210923183,0.0028738105222038475,43.022761114656454,46.288023824718145,49.38310997660073,0.11558365183847923
WN18RR,ComplEx,200,2,0.3,1024,0,3,"42,123,456",0.47809999999999997,0.0019287301521985886,45.06666666666666,49.03333333333333,52.6,nan
WN18RR,DistMult,200,0,0.3,4096,0,3,"42,123,456",0.4731067564064145,0.00301192639111742,44.309721335885975,48.76621995320145,52.786641140182944,0.07864956593071973
WN18RR,DistMult,200,2,0.3,1024,0,3,"42,123,456",0.46586666666666665,0.004188476254359494,43.5,47.76666666666667,52.36666666666667,nan
WN18RR,RotatE,200,2,0.3,128,2048,3,"42,123,456",0.4930135500617374,0.0020521946672371577,45.777494150180814,50.648798128057855,56.19017230376516,21.08140508031404
WN18RR,TransE,200,2,0.3,128,0,3,"42,123,456",0.20688329013086512,0.002328038086915958,7.562220804084237,28.440757285683897,46.734737289938316,3.4656216017405193
YAGO3-10,ComplEx,64,0,0.3,2048,0,3,"42,123,456",0.6713,0.005408326913195958,60.9,71.26666666666667,77.63333333333334,nan
YAGO3-10,DistMult,64,0,0.3,2048,0,3,"42,123,456",0.6648666666666667,0.0008504900548115011,60.06666666666666,70.73333333333333,77.3,nan
codex-m,ComplEx,200,0,0.3,1024,0,3,"42,123,456",0.5378666666666666,0.00020816659994665258,43.03333333333333,59.800000000000004,74.46666666666667,nan
codex-m,DistMult,200,0,0.3,1024,0,3,"42,123,456",0.5282333333333333,0.0011590225767142298,42.4,58.300000000000004,73.13333333333334,nan
