source,tag,file,dataset,scorer,seed,d_h,layers,label_smooth,batch_size,score_chunk_size,epochs,train_time_s,best_val_mrr,MRR,Hits@1,Hits@3,Hits@10,MR
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\codex-m_d200_L0_ls0.3_ComplEx_seed123.json,codex-m,ComplEx,123,200,0,0.3,1024,0,300,,0.5359,0.5381,43.1,59.9,74.7,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\codex-m_d200_L0_ls0.3_ComplEx_seed42.json,codex-m,ComplEx,42,200,0,0.3,1024,0,300,,0.5409,0.5377,42.9,59.8,74.4,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\codex-m_d200_L0_ls0.3_ComplEx_seed456.json,codex-m,ComplEx,456,200,0,0.3,1024,0,300,,0.5321,0.5378,43.1,59.7,74.3,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\codex-m_d200_L0_ls0.3_seed123.json,codex-m,DistMult,123,200,0,0.3,1024,0,300,,0.5201,0.527,42.4,58.1,72.7,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\codex-m_d200_L0_ls0.3_seed42.json,codex-m,DistMult,42,200,0,0.3,1024,0,300,,0.5357,0.5284,42.4,58.3,73.4,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\codex-m_d200_L0_ls0.3_seed456.json,codex-m,DistMult,456,200,0,0.3,1024,0,300,,0.5294,0.5293,42.4,58.5,73.3,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\FB15k-237_d200_L3_ls0.3_ComplEx_seed123.json,FB15k-237,ComplEx,123,200,3,0.3,1024,0,200,,0.4298,0.4196,32.5,46.1,60.8,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\FB15k-237_d200_L3_ls0.3_ComplEx_seed42.json,FB15k-237,ComplEx,42,200,3,0.3,1024,0,200,,0.4327,0.4222,32.8,46.2,61.0,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\FB15k-237_d200_L3_ls0.3_ComplEx_seed456.json,FB15k-237,ComplEx,456,200,3,0.3,1024,0,200,,0.4333,0.4214,32.6,46.5,60.9,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\FB15k-237_d200_L3_ls0.3_seed123.json,FB15k-237,DistMult,123,200,3,0.3,1024,0,200,,0.4363,0.4138,32.0,45.6,60.1,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\FB15k-237_d200_L3_ls0.3_seed42.json,FB15k-237,DistMult,42,200,3,0.3,1024,0,200,,0.4415,0.4147,31.9,45.6,60.4,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\FB15k-237_d200_L3_ls0.3_seed456.json,FB15k-237,DistMult,456,200,3,0.3,1024,0,200,,0.4411,0.4185,32.4,46.0,60.9,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_ComplEx_seed123.json,Kinship,ComplEx,123,200,2,0.3,1024,0,300,,0.7583,0.7559,64.2,84.2,95.6,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_ComplEx_seed2024.json,Kinship,ComplEx,2024,200,2,0.3,4096,0,300,41.73377060890198,0.7781243768849201,0.7684570725084477,65.36312849162012,86.21973929236499,96.74115456238361,2.8184357541899443
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_ComplEx_seed42.json,Kinship,ComplEx,42,200,2,0.3,1024,0,300,,0.7921,0.7734,66.3,85.7,96.4,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_ComplEx_seed456.json,Kinship,ComplEx,456,200,2,0.3,1024,0,300,,0.7973,0.7586,63.3,85.9,96.9,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_ComplEx_seed7.json,Kinship,ComplEx,7,200,2,0.3,4096,0,300,42.02107858657837,0.7689700303090854,0.7634196746479747,64.43202979515829,85.75418994413407,95.90316573556798,2.878026070763501
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_ComplEx_seed99.json,Kinship,ComplEx,99,200,2,0.3,4096,0,300,42.676828145980835,0.7730452882281665,0.7605449467880722,64.99068901303538,84.17132216014897,96.36871508379889,2.7430167597765363
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_seed123.json,Kinship,DistMult,123,200,2,0.3,1024,0,300,,0.7029,0.6777,54.7,76.3,93.9,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_seed2024.json,Kinship,DistMult,2024,200,2,0.3,4096,0,300,46.88727807998657,0.702819398340632,0.6711639420212011,53.81750465549349,75.13966480446928,93.85474860335195,3.404096834264432
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_seed42.json,Kinship,DistMult,42,200,2,0.3,1024,0,300,,0.686,0.6847,55.6,76.7,94.2,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_seed456.json,Kinship,DistMult,456,200,2,0.3,1024,0,300,,0.6844,0.6626,53.0,74.3,93.9,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_seed7.json,Kinship,DistMult,7,200,2,0.3,4096,0,300,42.44780373573303,0.6800775992130953,0.6710858091076488,54.00372439478585,75.60521415270019,93.76163873370578,3.4022346368715084
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\Kinship_d200_L2_ls0.3_seed99.json,Kinship,DistMult,99,200,2,0.3,4096,0,300,44.44388270378113,0.6995890494316862,0.6793753108928305,55.121042830540034,75.79143389199255,94.1340782122905,3.485102420856611
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed123.json,UMLS,ComplEx,123,200,2,0.3,1024,0,300,,0.836,0.8321,75.3,89.7,95.3,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed2024.json,UMLS,ComplEx,2024,200,2,0.3,4096,0,300,60.342716455459595,0.8280496330625284,0.8135046497631464,71.86081694402421,89.86384266263238,94.40242057488653,5.090771558245083
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed42.json,UMLS,ComplEx,42,200,2,0.3,1024,0,300,,0.849,0.8359,75.8,89.6,95.5,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed456.json,UMLS,ComplEx,456,200,2,0.3,1024,0,300,,0.8229,0.8353,74.9,91.5,95.6,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed7.json,UMLS,ComplEx,7,200,2,0.3,4096,0,300,59.76346969604492,0.8378640562304391,0.8288820427479514,74.73524962178517,89.7125567322239,94.40242057488653,4.1467473524962175
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_ComplEx_seed99.json,UMLS,ComplEx,99,200,2,0.3,4096,0,300,59.796698808670044,0.8510249229424205,0.8355489485440245,76.55068078668684,89.40998487140696,94.0998487140696,4.207261724659607
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_seed123.json,UMLS,DistMult,123,200,2,0.3,1024,0,300,,0.8902,0.858,79.4,90.3,96.7,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_seed2024.json,UMLS,DistMult,2024,200,2,0.3,4096,0,300,61.94657015800476,0.8909207095712246,0.8862338667982489,83.66111951588502,93.04084720121028,96.97428139183056,2.59606656580938
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_seed42.json,UMLS,DistMult,42,200,2,0.3,1024,0,300,,0.8783,0.8749,82.5,90.5,96.8,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_seed456.json,UMLS,DistMult,456,200,2,0.3,1024,0,300,,0.8824,0.8785,82.8,91.2,97.1,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_seed7.json,UMLS,DistMult,7,200,2,0.3,4096,0,300,62.15797400474548,0.8822885800447039,0.8794032010715185,82.75340393343419,91.98184568835099,97.2768532526475,2.8078668683812404
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\UMLS_d200_L2_ls0.3_seed99.json,UMLS,DistMult,99,200,2,0.3,4096,0,300,60.05261039733887,0.8882047704065889,0.8717854047318974,81.24054462934947,91.83055975794251,96.67170953101362,2.75642965204236
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L0_ls0.3_seed123.json,WN18RR,DistMult,123,200,0,0.3,4096,0,300,297.3177831172943,0.48286197943098014,0.4752750736785047,44.51180599872367,48.91512444160817,53.06317804722399,3820.5379706445437
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L0_ls0.3_seed42.json,WN18RR,DistMult,42,200,0,0.3,4096,0,300,297.90339493751526,0.47657053860895887,0.47437748646013295,44.47989789406509,48.75558391831525,52.96745373324825,3817.8446075303127
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L0_ls0.3_seed456.json,WN18RR,DistMult,456,200,0,0.3,4096,0,300,254.1941339969635,0.4796189080810901,0.4696677090806059,43.937460114869175,48.62795149968092,52.32929164007658,4116.428844926611
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L1_ls0.3_ComplEx_seed123.json,WN18RR,ComplEx,123,200,1,0.3,4096,0,300,415.00669527053833,0.4713512099700925,0.4516655010619872,42.82067645181876,45.979578813018506,49.457562220804085,5217.468730057434
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L1_ls0.3_ComplEx_seed42.json,WN18RR,ComplEx,42,200,1,0.3,4096,0,300,415.72904896736145,0.4675669245736477,0.4566419023847438,43.58647096362476,46.3624760689215,49.617102744097004,5676.537651563497
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L1_ls0.3_ComplEx_seed456.json,WN18RR,ComplEx,456,200,1,0.3,4096,0,300,417.5676956176758,0.468449236686857,0.4516631328809645,42.661135928525844,46.52201659221442,49.07466496490108,5647.715698787492
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L2_ls0.3_ComplEx_seed123.json,WN18RR,ComplEx,123,200,2,0.3,1024,0,300,,0.4874,0.4789,45.3,48.9,52.5,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L2_ls0.3_ComplEx_seed42.json,WN18RR,ComplEx,42,200,2,0.3,1024,0,300,,0.4972,0.4795,45.0,49.5,53.0,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L2_ls0.3_ComplEx_seed456.json,WN18RR,ComplEx,456,200,2,0.3,1024,0,300,,0.4933,0.4759,44.9,48.7,52.3,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L2_ls0.3_seed123.json,WN18RR,DistMult,123,200,2,0.3,1024,0,300,,0.4799,0.4671,43.4,48.3,52.7,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L2_ls0.3_seed42.json,WN18RR,DistMult,42,200,2,0.3,1024,0,300,,0.4832,0.4693,43.8,48.0,52.8,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\WN18RR_d200_L2_ls0.3_seed456.json,WN18RR,DistMult,456,200,2,0.3,1024,0,300,,0.4803,0.4612,43.3,47.0,51.6,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\YAGO3-10_d64_L0_ls0.3_ComplEx_seed123.json,YAGO3-10,ComplEx,123,64,0,0.3,2048,0,150,,0.6732,0.6728,61.2,71.4,77.3,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\YAGO3-10_d64_L0_ls0.3_ComplEx_seed42.json,YAGO3-10,ComplEx,42,64,0,0.3,2048,0,150,,0.6664,0.6653,60.0,70.8,77.7,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\YAGO3-10_d64_L0_ls0.3_ComplEx_seed456.json,YAGO3-10,ComplEx,456,64,0,0.3,2048,0,150,,0.6635,0.6758,61.5,71.6,77.9,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\YAGO3-10_d64_L0_ls0.3_seed123.json,YAGO3-10,DistMult,123,64,0,0.3,2048,0,150,,0.6593,0.6657,60.0,70.8,77.6,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\YAGO3-10_d64_L0_ls0.3_seed42.json,YAGO3-10,DistMult,42,64,0,0.3,2048,0,150,,0.6718,0.6649,60.0,71.0,77.3,
decoder_diag_lockin,decoder_diag_jsons,C:\Users\13742\Documents\KG\kgc-decoder-audit\data\decoder_diag_jsons\YAGO3-10_d64_L0_ls0.3_seed456.json,YAGO3-10,DistMult,456,64,0,0.3,2048,0,150,,0.6725,0.664,60.2,70.4,77.0,
decoder_chunked_20260604,decoder_chunked_results_20260604,C:\Users\13742\Documents\KG\kgc-decoder-audit\decoder_chunked_results_20260604\Kinship_d200_L2_ls0.3_RotatE_seed123.json,Kinship,RotatE,123,200,2,0.3,4096,0,300,18.9065158367157,0.7190232701711569,0.7200243148597442,59.96275605214153,81.09869646182494,93.76163873370578,3.3221601489757915
