dataset,scorer,d_h,layers,label_smooth,batch_size,score_chunk_size,n,seeds,MRR_mean,MRR_std,H1_mean,H3_mean,H10_mean,train_h_mean
Kinship,ComplEx,200,2,0.3,1024,0,6,"42,123,456,777,888,999",0.8533748179235247,0.005987552404288332,76.87771570453135,93.0477963997517,98.4016139044072,0.005958978522706915
Kinship,DistMult,200,2,0.3,1024,0,6,"42,123,456,777,888,999",0.710300637578329,0.005728510104706959,58.45747982619491,79.32960893854748,95.31346989447547,0.005532552158391033
Kinship,RotatE,200,2,0.3,4096,0,3,"42,123,456",0.7266315329725005,0.009055589691498908,60.52141527001862,82.06083178150216,94.6927374301676,0.004846411634374548
Kinship,TransE,200,2,0.3,4096,0,3,"42,123,456",0.047241578639661254,0.004442859158100744,0.0,1.924270639354438,11.452513966480446,0.004223634975927848
UMLS,ComplEx,200,2,0.3,1024,0,6,"42,123,456,777,888,999",0.9427163565725162,0.00715436394802567,90.56984367120525,97.62985375693393,99.31921331316187,0.005383813888938338
UMLS,DistMult,200,2,0.3,1024,0,6,"42,123,456,777,888,999",0.9204625332810473,0.00513470885877296,88.07362581946546,94.98234997478568,99.11749873928392,0.004951018779366105
UMLS,RotatE,200,2,0.3,4096,0,3,"42,123,456",0.8490450880185271,0.006538378446060656,77.25668179525971,91.52798789712557,95.46142208774585,0.004578105211257935
UMLS,TransE,200,2,0.3,4096,0,3,"42,123,456",0.10047421728705902,0.008721252652046691,0.0,9.379727685325264,33.484619263741806,0.003152842146378976
WN18RR,ComplEx,200,2,0.3,1024,0,3,"777,888,999",0.48541813711074316,0.001211553738275605,45.383960859391614,49.86173154647947,54.382046373112104,0.24289920226291373
WN18RR,DistMult,200,2,0.3,1024,0,3,"777,888,999",0.4748001753861663,0.0010281685617238685,44.06509253350351,48.81940012763241,53.818336524143795,0.21650064689141732
WN18RR,RotatE,200,2,0.3,128,2048,3,"777,888,999",0.4929338568829898,0.0019497082189596034,45.75622208040843,50.765794511806,55.87109125717933,22.16533248047034
WN18RR,TransE,200,2,0.3,128,2048,3,"777,888,999",0.2016464208451625,0.00451539243850413,7.392044245905126,27.621782599446927,45.28823654541586,13.469282217776334
YAGO3-10,ComplEx,128,0,0.3,2048,0,3,"777,888,999",0.6971209900259049,0.00481622544140964,63.86000000000001,73.69333333333334,79.32000000000001,1.0533650668903631
YAGO3-10,ComplEx,256,0,0.3,1024,0,1,42,0.7046872776959936,0.0,64.64,74.4,80.06,1.53342702779505
codex-l,ComplEx,200,0,0.3,4096,0,3,"42,123,456",0.5402097648929768,0.003031568469707906,44.12622733111271,59.579169660157184,72.69501230052468,0.4637695004101153
codex-l,DistMult,200,0,0.3,4096,0,3,"42,123,456",0.535460496545913,0.0015912577827190705,43.65924281018005,59.10674242919034,72.29442884200901,0.39483642039475614
